column,confusion_matrix_false_negative,confusion_matrix_false_positive,confusion_matrix_true_negative,confusion_matrix_true_positive,f1_score,false_negative,false_positive,injected_cells,model_name,pr_auc,precision,recall,roc_auc,split,threshold,true_negative,true_positive
__all__,,,,,0.49662832209440705,5218,10010,12730,modern_tcn,0.35477127720323215,0.42871818285583835,0.590102120974077,0.8087479715620379,validation,27.90303543587473,104556,7512
in_medium_temp1,1,0,4350,545,0.999083409715857,5218,10010,12730,modern_tcn,1.0,1.0,0.9981684981684982,1.0,validation,27.90303543587473,104556,7512
in_medium_temp2,27,0,4403,466,0.9718456725755996,5218,10010,12730,modern_tcn,1.0,1.0,0.9452332657200812,1.0,validation,27.90303543587473,104556,7512
in_temp,0,0,4440,456,1.0,5218,10010,12730,modern_tcn,1.0,1.0,1.0,1.0,validation,27.90303543587473,104556,7512
in_temp2,0,0,4414,482,1.0,5218,10010,12730,modern_tcn,1.0,1.0,1.0,1.0,validation,27.90303543587473,104556,7512
in_water_hot,63,11,4405,417,0.9185022026431718,5218,10010,12730,modern_tcn,0.9863851130250605,0.9742990654205608,0.86875,0.998245018115942,validation,27.90303543587473,104556,7512
in_water_cold,155,0,4416,325,0.8074534161490683,5218,10010,12730,modern_tcn,1.0,1.0,0.6770833333333334,1.0,validation,27.90303543587473,104556,7512
in_hum,0,53,4360,483,0.9479882237487733,5218,10010,12730,modern_tcn,1.0,0.9011194029850746,1.0,1.0,validation,27.90303543587473,104556,7512
in_hum2,0,93,4306,497,0.9144434222631095,5218,10010,12730,modern_tcn,1.0,0.8423728813559322,1.0,1.0,validation,27.90303543587473,104556,7512
in_medium_hum1,43,0,4393,460,0.9553478712357216,5218,10010,12730,modern_tcn,1.0,1.0,0.9145129224652088,1.0,validation,27.90303543587473,104556,7512
in_medium_hum2,1,0,4423,472,0.9989417989417989,5218,10010,12730,modern_tcn,1.0,1.0,0.9978858350951374,1.0,validation,27.90303543587473,104556,7512
in_co2,0,867,3541,488,0.5295713510580575,5218,10010,12730,modern_tcn,1.0,0.36014760147601477,1.0,1.0,validation,27.90303543587473,104556,7512
in_co2_2,0,1189,3232,475,0.44413277232351567,5218,10010,12730,modern_tcn,0.9999035081777904,0.2854567307692308,1.0,0.9999895236848058,validation,27.90303543587473,104556,7512
in_medium_ec1,512,0,4384,0,0.0,5218,10010,12730,modern_tcn,0.6833938135705896,0.0,0.0,0.9339724352760036,validation,27.90303543587473,104556,7512
in_medium_ec2,516,0,4380,0,0.0,5218,10010,12730,modern_tcn,0.9920707562189087,0.0,0.0,0.99870358571378,validation,27.90303543587473,104556,7512
etc_blackout,487,0,4409,0,0.0,5218,10010,12730,modern_tcn,0.9999999999999999,0.0,0.0,1.0,validation,27.90303543587473,104556,7512
etc_plc_abnorm,481,0,4415,0,0.0,5218,10010,12730,modern_tcn,1.0,0.0,0.0,1.0,validation,27.90303543587473,104556,7512
etc_plc_norm,508,0,4388,0,0.0,5218,10010,12730,modern_tcn,1.0,0.0,0.0,1.0,validation,27.90303543587473,104556,7512
out_temp,440,21,4435,0,0.0,5218,10010,12730,modern_tcn,0.10008059714654065,0.0,0.0,0.5453591684347968,validation,27.90303543587473,104556,7512
out_hum,0,324,4111,461,0.739967897271268,5218,10010,12730,modern_tcn,1.0,0.5872611464968153,1.0,1.0,validation,27.90303543587473,104556,7512
out_winddirec,0,3468,957,471,0.21360544217687075,5218,10010,12730,modern_tcn,0.974979556906093,0.11957349581111958,1.0,0.9965751436419686,validation,27.90303543587473,104556,7512
out_windsp,475,0,4421,0,0.0,5218,10010,12730,modern_tcn,0.9995015373072358,0.0,0.0,0.9999438088548673,validation,27.90303543587473,104556,7512
out_light,0,3984,359,553,0.2172888015717092,5218,10010,12730,modern_tcn,0.9999999999999999,0.12188670927925942,1.0,1.0,validation,27.90303543587473,104556,7512
out_light_sum,497,0,4399,0,0.0,5218,10010,12730,modern_tcn,1.0,0.0,0.0,1.0,validation,27.90303543587473,104556,7512
out_rainfall,493,0,4403,0,0.0,5218,10010,12730,modern_tcn,0.10612567588679898,0.0,0.0,0.5160915086938235,validation,27.90303543587473,104556,7512
out_rain,483,0,4413,0,0.0,5218,10010,12730,modern_tcn,0.9717481517164733,0.0,0.0,0.9954655898556823,validation,27.90303543587473,104556,7512
out_airpress,36,0,4399,461,0.9624217118997912,5218,10010,12730,modern_tcn,1.0,1.0,0.9275653923541247,1.0,validation,27.90303543587473,104556,7512
__all__,,,,,0.4680447787715453,6325,11637,14227,modern_tcn,0.33946365156975933,0.4044219253800092,0.5554227876572714,0.8199262745901901,test,27.90303543587473,116408,7902
in_medium_temp1,4,0,4904,564,0.9964664310954063,6325,11637,14227,modern_tcn,1.0,1.0,0.9929577464788732,1.0,test,27.90303543587473,116408,7902
in_medium_temp2,48,0,4923,501,0.9542857142857144,6325,11637,14227,modern_tcn,1.0,1.0,0.912568306010929,1.0,test,27.90303543587473,116408,7902
in_temp,0,0,4916,556,1.0,6325,11637,14227,modern_tcn,1.0,1.0,1.0,1.0,test,27.90303543587473,116408,7902
in_temp2,0,0,4917,555,1.0,6325,11637,14227,modern_tcn,1.0,1.0,1.0,1.0,test,27.90303543587473,116408,7902
in_water_hot,40,22,4914,496,0.9411764705882354,6325,11637,14227,modern_tcn,0.9862198959603662,0.9575289575289575,0.9253731343283582,0.9975152096083602,test,27.90303543587473,116408,7902
in_water_cold,342,0,4917,213,0.5546875,6325,11637,14227,modern_tcn,1.0,1.0,0.3837837837837838,1.0,test,27.90303543587473,116408,7902
in_hum,0,28,4886,558,0.9755244755244755,6325,11637,14227,modern_tcn,1.0,0.9522184300341296,1.0,1.0,test,27.90303543587473,116408,7902
in_hum2,0,81,4883,508,0.92616226071103,6325,11637,14227,modern_tcn,1.0,0.8624787775891342,1.0,1.0,test,27.90303543587473,116408,7902
in_medium_hum1,21,1,4903,547,0.9802867383512546,6325,11637,14227,modern_tcn,0.9997188510151067,0.9981751824817519,0.9630281690140845,0.9999662534751741,test,27.90303543587473,116408,7902
in_medium_hum2,425,0,4929,118,0.35703479576399394,6325,11637,14227,modern_tcn,0.9809626912849734,1.0,0.21731123388581952,0.9959726458248566,test,27.90303543587473,116408,7902
in_co2,0,982,3983,507,0.5080160320641282,6325,11637,14227,modern_tcn,0.9998984711420669,0.3404969778374748,1.0,0.9999896712887649,test,27.90303543587473,116408,7902
in_co2_2,0,1402,3538,532,0.43146796431467965,6325,11637,14227,modern_tcn,0.9997069020407212,0.2750775594622544,1.0,0.9999668959849015,test,27.90303543587473,116408,7902
in_medium_ec1,550,0,4922,0,0.0,6325,11637,14227,modern_tcn,0.7810362857875082,0.0,0.0,0.952073436518784,test,27.90303543587473,116408,7902
in_medium_ec2,557,0,4915,0,0.0,6325,11637,14227,modern_tcn,0.9963117496222021,0.0,0.0,0.9994937272958061,test,27.90303543587473,116408,7902
etc_blackout,543,0,4929,0,0.0,6325,11637,14227,modern_tcn,1.0,0.0,0.0,1.0,test,27.90303543587473,116408,7902
etc_plc_abnorm,523,0,4949,0,0.0,6325,11637,14227,modern_tcn,1.0,0.0,0.0,1.0,test,27.90303543587473,116408,7902
etc_plc_norm,534,0,4938,0,0.0,6325,11637,14227,modern_tcn,1.0,0.0,0.0,1.0,test,27.90303543587473,116408,7902
out_temp,529,188,4740,15,0.04016064257028113,6325,11637,14227,modern_tcn,0.0723358214865111,0.07389162561576355,0.027573529411764705,0.3501804663626814,test,27.90303543587473,116408,7902
out_hum,0,324,4612,536,0.7679083094555873,6325,11637,14227,modern_tcn,0.9999930385265345,0.6232558139534884,1.0,0.9999992440552505,test,27.90303543587473,116408,7902
out_winddirec,0,4046,858,568,0.21922037823234272,6325,11637,14227,modern_tcn,0.9347829287032333,0.12310359774599046,1.0,0.98923808963077,test,27.90303543587473,116408,7902
out_windsp,539,0,4933,0,0.0,6325,11637,14227,modern_tcn,0.986998631224137,0.0,0.0,0.9981371904860944,test,27.90303543587473,116408,7902
out_light,0,4561,332,579,0.2024829515649589,6325,11637,14227,modern_tcn,0.999988104171083,0.11264591439688716,1.0,0.9999985880926084,test,27.90303543587473,116408,7902
out_light_sum,555,0,4917,0,0.0,6325,11637,14227,modern_tcn,1.0,0.0,0.0,1.0,test,27.90303543587473,116408,7902
out_rainfall,545,2,4925,0,0.0,6325,11637,14227,modern_tcn,0.9413291987344077,0.0,0.0,0.9982154129185187,test,27.90303543587473,116408,7902
out_rain,539,0,4933,0,0.0,6325,11637,14227,modern_tcn,0.9909560816433769,0.0,0.0,0.9987412026159818,test,27.90303543587473,116408,7902
out_airpress,31,0,4892,549,0.9725420726306466,6325,11637,14227,modern_tcn,1.0,1.0,0.946551724137931,1.0,test,27.90303543587473,116408,7902
__all__,,,,,0.4841573867854492,4578,12793,12730,timesnet,0.35658782092653246,0.3892098352828837,0.6403770620581304,0.8102435690255979,validation,31.030568199512874,101773,8152
in_medium_temp1,0,0,4350,546,1.0,4578,12793,12730,timesnet,1.0,1.0,1.0,1.0,validation,31.030568199512874,101773,8152
in_medium_temp2,18,0,4403,475,0.9814049586776858,4578,12793,12730,timesnet,0.999918209276873,1.0,0.9634888438133874,0.9999907862931369,validation,31.030568199512874,101773,8152
in_temp,2,0,4440,454,0.9978021978021978,4578,12793,12730,timesnet,1.0,1.0,0.9956140350877193,1.0,validation,31.030568199512874,101773,8152
