column,mae,masked_cells,model_name,rmse,split
__all__,6.167693524946182,12730,modern_tcn,27.017356609105576,validation
in_medium_temp1,1.259034495711013,546.0,modern_tcn,1.7945746400612006,validation
in_medium_temp2,1.1682718821312656,493.0,modern_tcn,1.7948843096217206,validation
in_temp,0.9630584696454801,456.0,modern_tcn,1.7986980174472862,validation
in_temp2,0.9357910799529946,482.0,modern_tcn,1.7134999667656587,validation
in_water_hot,0.9851776720998208,480.0,modern_tcn,1.4831666120481244,validation
in_water_cold,0.9571782532197423,480.0,modern_tcn,1.8582895344169081,validation
in_hum,3.671176282202278,483.0,modern_tcn,7.037865179598226,validation
in_hum2,3.3502182196438968,497.0,modern_tcn,6.453652406256958,validation
in_medium_hum1,1.167123936184732,503.0,modern_tcn,1.620828141300381,validation
in_medium_hum2,1.4721543733706575,473.0,modern_tcn,2.0413186311636364,validation
in_co2,4.885718404922062,488.0,modern_tcn,8.039740432733042,validation
in_co2_2,5.386314053983164,475.0,modern_tcn,9.425606249251258,validation
in_medium_ec1,0.11444278830279409,512.0,modern_tcn,0.1452749091766684,validation
in_medium_ec2,0.0645734422130504,516.0,modern_tcn,0.08753776660661436,validation
etc_blackout,0.021083043654902513,487.0,modern_tcn,0.026481751433711773,validation
etc_plc_abnorm,0.02294797897958458,481.0,modern_tcn,0.0302532346436732,validation
etc_plc_norm,0.1119684651180325,508.0,modern_tcn,0.17851603113315673,validation
out_temp,1.8543320802871615,440.0,modern_tcn,3.155834865644165,validation
out_hum,3.498922886443548,461.0,modern_tcn,5.530308880179585,validation
out_winddirec,44.01994960039109,471.0,modern_tcn,67.42457517196705,validation
out_windsp,0.4874326489672293,475.0,modern_tcn,0.652598866254845,validation
out_light,75.02190259947092,553.0,modern_tcn,112.50240550341992,validation
out_light_sum,0.019503706916267242,497.0,modern_tcn,0.0257781122934389,validation
out_rainfall,0.07549832375555555,493.0,modern_tcn,0.11884522156789587,validation
out_rain,0.0475747452215458,483.0,modern_tcn,0.1256966323082476,validation
out_airpress,1.2947909100808415,497.0,modern_tcn,2.178626088729388,validation
