column,lower,upper,source_code,source_name,unit,lower_inclusive,upper_inclusive,allowed_values,integer_only
in_temp,2,50,FG-EI-TI,internal_temperature,celsius,true,false,,
in_temp2,2,50,FG-EI-TI,internal_temperature,celsius,true,false,,
in_hum,0,100,FG-EI-HI,internal_humidity,percent,true,true,,
in_hum2,0,100,FG-EI-HI,internal_humidity,percent,true,true,,
in_co2,200,5000,FG-EI-CI,internal_co2,ppm,true,false,,
in_co2_2,200,5000,FG-EI-CI,internal_co2,ppm,true,false,,
out_temp,,50,FG-EO-TE,outdoor_temperature,celsius,true,false,,
out_winddirec,0,359,FG-EO-WD,outdoor_wind_direction,degree,true,true,,
out_windsp,0,30,FG-EO-WS,outdoor_wind_speed,m_s,true,true,,
out_rain,0,1,FG-EO-RP,rain_detection,0_1,true,true,0|1,
out_light,0,1400,FG-EO-SR,solar_radiation,w_m2,true,true,,
out_light_sum,0,10000,FG-EO-CR,cumulative_solar_radiation,j_cm2,true,false,,
in_medium_hum1,0,100,FG-EL-MC,substrate_moisture,percent_vol,true,true,,
in_medium_hum2,0,100,FG-EL-MC,substrate_moisture,percent_vol,true,true,,
in_medium_temp1,0,41,FG-EL-TL,substrate_temperature,celsius,false,false,,
in_medium_temp2,0,41,FG-EL-TL,substrate_temperature,celsius,false,false,,
