segment_id,series_id,crop,geas_version,control_mode,segment_index,planned_start,planned_end,actual_start,actual_end,row_count,file_path
iot97_strawberry_geas2_0_seg01,strawberry_geas2_0,strawberry,2.0,GEAS2.0,1,2024-03-05 10:50:00,2024-11-19 15:50:00,2024-03-06 12:20:00,2024-11-19 15:50:00,46622,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg02,strawberry_geas2_0,strawberry,2.0,GEAS2.0,2,2024-11-27 15:25:00,2025-01-30 20:10:00,2024-11-27 15:25:00,2025-01-30 20:10:00,18462,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,strawberry,2.0,GEAS2.0,3,2025-02-03 09:20:00,2025-04-04 14:00:00,2025-02-03 09:20:00,2025-04-04 14:00:00,17266,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg04,strawberry_geas2_0,strawberry,2.0,GEAS2.0,4,2025-04-07 13:55:00,2025-05-07 23:55:00,2025-04-07 13:55:00,2025-05-07 23:55:00,8761,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet
iot97_melon_geas2_0_seg01,melon_geas2_0,melon,2.0,GEAS2.0,1,2025-05-08 00:00:00,2025-06-25 14:20:00,2025-05-08 00:00:00,2025-06-25 14:20:00,13665,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet
iot97_melon_geas2_0_seg02,melon_geas2_0,melon,2.0,GEAS2.0,2,2025-06-27 17:20:00,2025-08-22 14:25:00,2025-06-27 17:20:00,2025-08-22 14:25:00,15902,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet
iot97_melon_geas2_0_seg03,melon_geas2_0,melon,2.0,GEAS2.0,3,2025-08-26 15:50:00,2025-09-09 13:55:00,2025-08-26 15:50:00,2025-09-09 13:55:00,4010,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet
iot97_melon_geas2_5_seg01,melon_geas2_5,melon,2.5,GEAS2.5,1,2025-09-09 14:00:00,2025-10-16 23:55:00,2025-09-09 14:00:00,2025-10-16 23:55:00,10742,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_5.parquet
iot97_strawberry_geas2_5_seg01,strawberry_geas2_5,strawberry,2.5,GEAS2.5,1,2025-10-17 00:00:00,2025-12-01 08:25:00,2025-10-17 00:00:00,2025-12-01 08:25:00,13032,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet
iot97_strawberry_geas3_0_seg01,strawberry_geas3_0,strawberry,3.0,GEAS3.0,1,2025-12-01 08:30:00,2025-12-16 09:35:00,2025-12-01 08:30:00,2025-12-16 09:35:00,4333,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas3_0.parquet
iot97_strawberry_geas3_0_seg02,strawberry_geas3_0,strawberry,3.0,GEAS3.0,2,2025-12-19 15:25:00,2026-01-22 09:05:00,2025-12-19 15:25:00,2026-01-22 09:05:00,9717,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas3_0.parquet
iot97_strawberry_geas2_5_seg02,strawberry_geas2_5,strawberry,2.5,GEAS2.5,2,2026-01-22 09:10:00,2026-02-12 10:40:00,2026-01-22 09:10:00,2026-02-12 10:40:00,6031,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet
iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,cucumber,2.5,GEAS2.5,1,2026-03-05 00:00:00,2099-12-31 23:59:59,2026-03-05 00:00:00,2026-06-30 23:55:00,33983,offline_dataset_preparation\datasets\00_raw\cucumber\cucumber_geas2_5.parquet

