segment_id,series_id,crop,geas_version,segment_index,actual_start,actual_end,row_count,n_inserted_rows,source_segment_id,source_file_path,file_path
iot97_strawberry_geas2_0_seg01,strawberry_geas2_0,strawberry,2.0,1,2024-03-13 05:20:00,2024-03-14 19:30:00,459,229,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg02,strawberry_geas2_0,strawberry,2.0,2,2024-03-15 08:40:00,2024-03-21 10:30:00,1751,875,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,strawberry,2.0,3,2024-03-21 10:50:00,2024-04-03 08:40:00,3719,1859,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg04,strawberry_geas2_0,strawberry,2.0,4,2024-04-03 10:00:00,2024-04-07 23:30:00,1315,657,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,strawberry,2.0,5,2024-04-08 08:50:00,2024-05-13 23:50:00,10261,5130,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg06,strawberry_geas2_0,strawberry,2.0,6,2024-05-14 11:50:00,2024-06-02 21:50:00,5593,2796,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg07,strawberry_geas2_0,strawberry,2.0,7,2024-06-03 16:00:00,2024-06-07 00:30:00,967,483,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg08,strawberry_geas2_0,strawberry,2.0,8,2024-06-07 00:50:00,2024-06-17 00:50:00,2881,1440,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg09,strawberry_geas2_0,strawberry,2.0,9,2024-06-17 01:20:00,2024-06-27 23:50:00,3151,1575,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg10,strawberry_geas2_0,strawberry,2.0,10,2024-06-28 00:10:00,2024-07-04 23:50:00,2013,1006,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg11,strawberry_geas2_0,strawberry,2.0,11,2024-07-05 00:10:00,2024-07-22 09:10:00,5005,2502,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg12,strawberry_geas2_0,strawberry,2.0,12,2024-07-22 16:40:00,2024-07-26 23:50:00,1239,619,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg13,strawberry_geas2_0,strawberry,2.0,13,2024-07-27 00:10:00,2024-07-30 13:10:00,1021,510,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg14,strawberry_geas2_0,strawberry,2.0,14,2024-08-01 09:20:00,2024-08-06 10:00:00,1449,724,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg15,strawberry_geas2_0,strawberry,2.0,15,2024-08-06 10:20:00,2024-08-07 23:50:00,451,225,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg16,strawberry_geas2_0,strawberry,2.0,16,2024-08-08 00:10:00,2024-08-09 23:50:00,573,286,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg17,strawberry_geas2_0,strawberry,2.0,17,2024-08-10 00:10:00,2024-08-13 15:30:00,1049,524,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg18,strawberry_geas2_0,strawberry,2.0,18,2024-08-14 00:10:00,2024-08-21 23:50:00,2301,1150,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg19,strawberry_geas2_0,strawberry,2.0,19,2024-08-22 00:10:00,2024-08-27 10:00:00,1559,779,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg20,strawberry_geas2_0,strawberry,2.0,20,2024-08-27 12:30:00,2024-08-28 23:50:00,425,212,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg21,strawberry_geas2_0,strawberry,2.0,21,2024-08-29 00:10:00,2024-08-30 23:50:00,573,286,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg22,strawberry_geas2_0,strawberry,2.0,22,2024-08-31 00:10:00,2024-09-02 23:50:00,861,430,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg23,strawberry_geas2_0,strawberry,2.0,23,2024-09-03 00:10:00,2024-09-04 23:50:00,573,286,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg24,strawberry_geas2_0,strawberry,2.0,24,2024-09-05 00:10:00,2024-10-10 16:10:00,10273,818,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg25,strawberry_geas2_0,strawberry,2.0,25,2024-10-10 16:45:00,2024-10-17 14:00:00,1984,0,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg26,strawberry_geas2_0,strawberry,2.0,26,2024-10-18 13:35:00,2024-11-19 15:50:00,9244,1,iot97_strawberry_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg27,strawberry_geas2_0,strawberry,2.0,27,2024-11-28 15:40:00,2025-01-30 20:10:00,18199,0,iot97_strawberry_geas2_0_seg02,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg28,strawberry_geas2_0,strawberry,2.0,28,2025-02-03 09:20:00,2025-04-03 21:30:00,17139,2,iot97_strawberry_geas2_0_seg03,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_strawberry_geas2_0_seg29,strawberry_geas2_0,strawberry,2.0,29,2025-04-07 13:55:00,2025-05-07 23:55:00,8761,0,iot97_strawberry_geas2_0_seg04,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_0.parquet
iot97_melon_geas2_0_seg01,melon_geas2_0,melon,2.0,1,2025-05-08 00:00:00,2025-06-12 11:25:00,10218,1,iot97_melon_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_0.parquet
iot97_melon_geas2_0_seg02,melon_geas2_0,melon,2.0,2,2025-06-12 17:00:00,2025-06-24 16:05:00,3446,0,iot97_melon_geas2_0_seg01,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_0.parquet
iot97_melon_geas2_0_seg03,melon_geas2_0,melon,2.0,3,2025-06-27 17:20:00,2025-07-14 13:45:00,4854,0,iot97_melon_geas2_0_seg02,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_0.parquet
iot97_melon_geas2_0_seg04,melon_geas2_0,melon,2.0,4,2025-07-15 07:20:00,2025-08-06 09:10:00,6359,0,iot97_melon_geas2_0_seg02,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_0.parquet
iot97_melon_geas2_0_seg05,melon_geas2_0,melon,2.0,5,2025-08-06 15:25:00,2025-08-14 02:05:00,2145,2,iot97_melon_geas2_0_seg02,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_0.parquet
iot97_melon_geas2_0_seg06,melon_geas2_0,melon,2.0,6,2025-08-14 17:45:00,2025-08-22 14:25:00,2265,0,iot97_melon_geas2_0_seg02,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_0.parquet
iot97_melon_geas2_0_seg07,melon_geas2_0,melon,2.0,7,2025-08-26 15:50:00,2025-09-09 13:55:00,4010,0,iot97_melon_geas2_0_seg03,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_0.parquet
iot97_melon_geas2_5_seg01,melon_geas2_5,melon,2.5,1,2025-09-09 14:00:00,2025-09-19 13:05:00,2870,0,iot97_melon_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_5.parquet
iot97_melon_geas2_5_seg02,melon_geas2_5,melon,2.5,2,2025-09-19 16:25:00,2025-10-13 16:15:00,6911,1,iot97_melon_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_5.parquet
iot97_melon_geas2_5_seg03,melon_geas2_5,melon,2.5,3,2025-10-13 16:45:00,2025-10-16 23:55:00,951,0,iot97_melon_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_5.parquet
