crop,segment_id,series_id,geas_version,episode_date,episode_id,episode_start,episode_end,n_rows,coverage,is_valid_episode,split
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-05,iot97_cucumber_geas2_5_seg01_20260305,2026-03-05,2026-03-05 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-06,iot97_cucumber_geas2_5_seg01_20260306,2026-03-06,2026-03-06 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-07,iot97_cucumber_geas2_5_seg01_20260307,2026-03-07,2026-03-07 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-08,iot97_cucumber_geas2_5_seg01_20260308,2026-03-08,2026-03-08 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-09,iot97_cucumber_geas2_5_seg01_20260309,2026-03-09,2026-03-09 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-10,iot97_cucumber_geas2_5_seg01_20260310,2026-03-10,2026-03-10 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-11,iot97_cucumber_geas2_5_seg01_20260311,2026-03-11,2026-03-11 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-12,iot97_cucumber_geas2_5_seg01_20260312,2026-03-12,2026-03-12 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-13,iot97_cucumber_geas2_5_seg01_20260313,2026-03-13,2026-03-13 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-14,iot97_cucumber_geas2_5_seg01_20260314,2026-03-14,2026-03-14 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-15,iot97_cucumber_geas2_5_seg01_20260315,2026-03-15,2026-03-15 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-16,iot97_cucumber_geas2_5_seg01_20260316,2026-03-16,2026-03-16 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-17,iot97_cucumber_geas2_5_seg01_20260317,2026-03-17,2026-03-17 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-18,iot97_cucumber_geas2_5_seg01_20260318,2026-03-18,2026-03-18 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-19,iot97_cucumber_geas2_5_seg01_20260319,2026-03-19,2026-03-19 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-20,iot97_cucumber_geas2_5_seg01_20260320,2026-03-20,2026-03-20 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-21,iot97_cucumber_geas2_5_seg01_20260321,2026-03-21,2026-03-21 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-22,iot97_cucumber_geas2_5_seg01_20260322,2026-03-22,2026-03-22 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-23,iot97_cucumber_geas2_5_seg01_20260323,2026-03-23,2026-03-23 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-24,iot97_cucumber_geas2_5_seg01_20260324,2026-03-24,2026-03-24 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-25,iot97_cucumber_geas2_5_seg01_20260325,2026-03-25,2026-03-25 23:55:00,288,1.0,True,train
cucumber,iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,2.5,2026-03-26,iot97_cucumber_geas2_5_seg01_20260326,2026-03-26,2026-03-26 23:55:00,288,1.0,True,train
