crop,split,n_rows,n_episodes,actual_start,actual_end,file_path
cucumber,train,23616,82,2026-03-05,2026-05-25 23:55:00,offline_dataset_preparation\datasets\02_split\cucumber\train.parquet
cucumber,validation,4896,17,2026-05-26,2026-06-11 23:55:00,offline_dataset_preparation\datasets\02_split\cucumber\validation.parquet
cucumber,test,5472,19,2026-06-12,2026-06-30 23:55:00,offline_dataset_preparation\datasets\02_split\cucumber\test.parquet
melon,train,29088,101,2025-05-08,2025-08-30 23:55:00,offline_dataset_preparation\datasets\02_split\melon\train.parquet
melon,validation,6048,21,2025-08-31,2025-09-22 23:55:00,offline_dataset_preparation\datasets\02_split\melon\validation.parquet
melon,test,6624,23,2025-09-23,2025-10-16 23:55:00,offline_dataset_preparation\datasets\02_split\melon\test.parquet
strawberry,train,98407,342,2024-03-16,2025-03-22 23:55:00,offline_dataset_preparation\datasets\02_split\strawberry\train.parquet
strawberry,validation,21024,73,2025-03-23,2025-11-20 23:55:00,offline_dataset_preparation\datasets\02_split\strawberry\validation.parquet
strawberry,test,21312,74,2025-11-21,2026-02-10 23:55:00,offline_dataset_preparation\datasets\02_split\strawberry\test.parquet

