column,confusion_matrix_false_negative,confusion_matrix_false_positive,confusion_matrix_true_negative,confusion_matrix_true_positive,f1_score,false_negative,false_positive,injected_cells,model_name,pr_auc,precision,recall,roc_auc,split,threshold,true_negative,true_positive
__all__,,,,,0.9777777777777779,111,62,3917,modern_tcn,0.7088658476005208,0.983971044467425,0.9716619862139393,0.9576345911370623,validation,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",35189,3806
in_medium_temp1,9,6,4410,471,0.9843260188087775,111,62,3917,modern_tcn,0.9988945287162748,0.9874213836477987,0.98125,0.9998712069746377,validation,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",35189,3806
in_temp,1,1,4407,487,0.9979508196721312,111,62,3917,modern_tcn,0.9999346269261634,0.9979508196721312,0.9979508196721312,0.9999925619588825,validation,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",35189,3806
in_temp2,2,1,4419,474,0.9968454258675079,111,62,3917,modern_tcn,0.9997737690641865,0.9978947368421053,0.9957983193277311,0.9999743336248527,validation,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",35189,3806
in_hum,68,44,4367,417,0.8816067653276957,111,62,3917,modern_tcn,0.9533511500550176,0.9045553145336226,0.8597938144329897,0.9920213524296101,validation,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",35189,3806
in_hum2,30,6,4407,453,0.9617834394904458,111,62,3917,modern_tcn,0.9861280793052493,0.9869281045751634,0.937888198757764,0.9978071564392612,validation,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",35189,3806
in_medium_hum1,0,1,4350,545,0.999083409715857,111,62,3917,modern_tcn,0.9999966363631039,0.9981684981684982,1.0,0.9999995782895,validation,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",35189,3806
in_co2,1,2,4407,486,0.9969230769230769,111,62,3917,modern_tcn,0.9997410949359756,0.9959016393442623,0.997946611909651,0.9999678648722535,validation,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",35189,3806
in_co2_2,0,1,4422,473,0.9989440337909187,111,62,3917,modern_tcn,0.9999955350216214,0.9978902953586498,1.0,0.9999995220065782,validation,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",35189,3806
__all__,,,,,0.9513561981618471,134,300,4378,modern_tcn,0.7315889700925808,0.9339788732394366,0.9693924166285975,0.9621331359018092,test,"{'in_medium_temp1': 12.079848924495414, 'in_temp': 13.679892929023291, 'in_temp2': 12.538899231952227, 'in_hum': 28.267846933918154, 'in_hum2': 30.746914466572758, 'in_medium_hum1': 27.842425302819354, 'in_co2': 114.38446423868224, 'in_co2_2': 136.79410411253818}",39098,4244
