column,mae,masked_cells,model_name,rmse,split
__all__,2.6852748436263,3917,modern_tcn,5.3672788138917005,validation
in_medium_temp1,1.098998890441977,480.0,modern_tcn,1.8244938587754087,validation
in_temp,1.0558050054046781,488.0,modern_tcn,2.201191170835365,validation
in_temp2,0.9652660316649285,476.0,modern_tcn,1.765430138299825,validation
in_hum,3.2766226380550814,485.0,modern_tcn,5.816733663227563,validation
in_hum2,3.9648085383482226,483.0,modern_tcn,6.453319403756509,validation
in_medium_hum1,1.279838556873665,545.0,modern_tcn,1.7872398945150927,validation
in_co2,4.694177090510857,487.0,modern_tcn,7.569369175111204,validation
in_co2_2,5.34516249748042,473.0,modern_tcn,9.335848415266607,validation
__all__,2.6464802207191167,4378,modern_tcn,4.170111784574202,test
in_medium_temp1,1.477476250469307,540.0,modern_tcn,2.8522935397255185,test
in_temp,1.485002330800142,556.0,modern_tcn,3.057391504210938,test
in_temp2,1.470437278467914,580.0,modern_tcn,2.7269607512169225,test
in_hum,2.869083041811885,523.0,modern_tcn,4.25287411130737,test
in_hum2,3.2000514824068285,526.0,modern_tcn,4.567004867328782,test
in_medium_hum1,1.794665740417495,540.0,modern_tcn,2.6997976954159753,test
in_co2,4.864593511787731,545.0,modern_tcn,6.100792889897757,test
in_co2_2,4.059608871928222,568.0,modern_tcn,5.562996728569555,test
__all__,2.344890214305762,3917,timesnet,5.381355036909465,validation
in_medium_temp1,1.0299672796941637,480.0,timesnet,1.8693490226726954,validation
in_temp,0.9736830609313285,488.0,timesnet,2.3730762976210613,validation
in_temp2,0.8042653459507025,476.0,timesnet,1.9167075428423157,validation
in_hum,3.0623692790524784,485.0,timesnet,6.2234904787224155,validation
in_hum2,3.1183555352768537,483.0,timesnet,6.427139472789356,validation
in_medium_hum1,1.0982139088443905,545.0,timesnet,1.7596703958080149,validation
in_co2,3.9012988265646253,487.0,timesnet,7.339632661035226,validation
in_co2_2,4.952831086763446,473.0,timesnet,9.26460847192885,validation
__all__,2.1893006283304595,4378,timesnet,4.142663908954995,test
in_medium_temp1,1.4313801224353464,540.0,timesnet,2.9905154742576343,test
in_temp,1.2272035287344656,556.0,timesnet,3.117999475586023,test
in_temp2,1.2740246840571203,580.0,timesnet,3.0040926701549515,test
in_hum,2.1907935251496946,523.0,timesnet,4.167728468290177,test
in_hum2,2.300270207343224,526.0,timesnet,4.41146449337468,test
in_medium_hum1,1.5408649972976576,540.0,timesnet,2.5300249996189135,test
in_co2,3.6522741868193624,545.0,timesnet,5.368936575611511,test
in_co2_2,3.8948410790722874,568.0,timesnet,6.106072514874382,test
__all__,3.7729464271162065,3917,patch_tst,6.459714247376551,validation
in_medium_temp1,1.3755977812306759,480.0,patch_tst,2.0056055666218637,validation
in_temp,1.6887959386882352,488.0,patch_tst,2.574868242521707,validation
in_temp2,1.5112280793852055,476.0,patch_tst,2.370536488457363,validation
in_hum,4.7090373435236845,485.0,patch_tst,6.911534712742349,validation
in_hum2,3.9401243063457225,483.0,patch_tst,6.407236425544103,validation
in_medium_hum1,1.9010741267780413,545.0,patch_tst,2.540789856631245,validation
in_co2,7.343793695973506,487.0,patch_tst,10.019920906585991,validation
in_co2_2,7.981799483190574,473.0,patch_tst,11.281341352540055,validation
__all__,4.3924755319369435,4378,patch_tst,6.687292837398575,test
in_medium_temp1,1.9529791058959152,540.0,patch_tst,3.2147464369539644,test
in_temp,2.5548749327109994,556.0,patch_tst,3.8073331388443363,test
in_temp2,2.6010482615610253,580.0,patch_tst,4.023025796206051,test
in_hum,4.6341250226761,523.0,patch_tst,5.927247600222725,test
in_hum2,4.087528293694067,526.0,patch_tst,5.506642429118489,test
in_medium_hum1,2.5563950304366707,540.0,patch_tst,3.1952575210210585,test
in_co2,8.438536133191551,545.0,patch_tst,10.705846272048541,test
in_co2_2,8.26300691721049,568.0,patch_tst,11.137233524685914,test
