column,confusion_matrix_false_negative,confusion_matrix_false_positive,confusion_matrix_true_negative,confusion_matrix_true_positive,f1_score,false_negative,false_positive,injected_cells,model_name,pr_auc,precision,recall,roc_auc,split,threshold,true_negative,true_positive
__all__,,,,,0.8464039008533116,611,901,4777,modern_tcn,0.44095644145217416,0.8221827511347938,0.8720954574000419,0.8647760698418541,validation,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",42091,4166
in_medium_temp1,67,62,4849,455,0.875842155919153,611,901,4777,modern_tcn,0.9164343554206024,0.8800773694390716,0.8716475095785441,0.9777007749434181,validation,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",42091,4166
in_temp,35,9,5405,599,0.9645732689210951,611,901,4777,modern_tcn,0.9917707779054986,0.9851973684210527,0.944794952681388,0.9984716571943985,validation,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",42091,4166
in_temp2,40,0,5424,584,0.9668874172185431,611,901,4777,modern_tcn,0.9899717746948237,1.0,0.9358974358974359,0.9980671138718705,validation,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",42091,4166
in_hum,1,7,5442,598,0.9933554817275748,611,901,4777,modern_tcn,0.9998834854675848,0.9884297520661157,0.998330550918197,0.9999871321597659,validation,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",42091,4166
in_hum2,3,5,5461,579,0.9931389365351629,611,901,4777,modern_tcn,0.9997061024244644,0.9914383561643836,0.9948453608247423,0.9999679367486354,validation,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",42091,4166
in_medium_hum1,307,20,5431,290,0.639470782800441,611,901,4777,modern_tcn,0.5863422490796176,0.9354838709677419,0.48576214405360135,0.7866769178860732,validation,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",42091,4166
in_co2,90,504,4915,539,0.6447368421052632,611,901,4777,modern_tcn,0.7115954018753838,0.5167785234899329,0.8569157392686805,0.9561097956286997,validation,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",42091,4166
in_co2_2,68,294,5164,522,0.7425320056899004,611,901,4777,modern_tcn,0.7647869466406557,0.6397058823529411,0.8847457627118644,0.9747324716944805,validation,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",42091,4166
__all__,,,,,0.7111281070745699,639,3138,5288,modern_tcn,0.3112555903834091,0.5970206754847823,0.879160363086233,0.8474623222881474,test,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",44451,4649
in_medium_temp1,69,112,5739,589,0.8668138337012509,639,3138,5288,modern_tcn,0.9266922266455964,0.8402282453637661,0.8951367781155015,0.9876141505959286,test,"{'in_medium_temp1': 12.07554389837236, 'in_temp': 10.893711681913446, 'in_temp2': 11.836576960030063, 'in_hum': 21.707307994620272, 'in_hum2': 25.044747153775017, 'in_medium_hum1': 10.202067724532187, 'in_co2': 165.38635281943303, 'in_co2_2': 181.68878280679118}",44451,4649
