column,mae,masked_cells,model_name,rmse,split
__all__,2.4978657304361946,4777,modern_tcn,5.550510007218994,validation
in_medium_temp1,1.3762946667440488,522.0,modern_tcn,2.4722949256323936,validation
in_temp,1.0358481768950973,634.0,modern_tcn,2.007823390207526,validation
in_temp2,1.126277594976118,624.0,modern_tcn,2.147380172984472,validation
in_hum,2.152959601374808,599.0,modern_tcn,4.081483185190959,validation
in_hum2,2.2644482375011066,582.0,modern_tcn,4.111620364356932,validation
in_medium_hum1,0.06782641836037792,597.0,modern_tcn,0.08325076058196662,validation
in_co2,5.845422142185156,629.0,modern_tcn,10.011034575255433,validation
in_co2_2,5.982303796935519,590.0,modern_tcn,9.715117813566364,validation
__all__,21.771671176340114,5288,modern_tcn,152.26200377965085,test
in_medium_temp1,1.273574171945798,658.0,modern_tcn,2.2249440971459653,test
in_temp,1.0806342464711909,618.0,modern_tcn,2.0357976702737157,test
in_temp2,1.3589234470992022,674.0,modern_tcn,2.7765072138625806,test
in_hum,2.9208463566796454,623.0,modern_tcn,6.538156916049542,test
in_hum2,2.5726154609515626,647.0,modern_tcn,5.416679910253915,test
in_medium_hum1,2.078903863422664,676.0,modern_tcn,8.003876326656027,test
in_co2,44.1750842216908,687.0,modern_tcn,178.20861311895396,test
in_co2_2,109.88517397483653,705.0,modern_tcn,377.8956392827831,test
__all__,2.590225610105421,4777,timesnet,5.736004067054106,validation
in_medium_temp1,1.3805010584968627,522.0,timesnet,2.5458004042327933,validation
in_temp,1.0783246770794996,634.0,timesnet,2.122746986592344,validation
in_temp2,1.135185231390271,624.0,timesnet,2.235982363519297,validation
in_hum,2.337801463688837,599.0,timesnet,4.337663642490755,validation
in_hum2,2.3999465403055997,582.0,timesnet,4.477730642117621,validation
in_medium_hum1,0.07291793149644256,597.0,timesnet,0.09433196988510832,validation
in_co2,5.975085632857185,629.0,timesnet,10.176522579907603,validation
in_co2_2,6.206610043905565,590.0,timesnet,10.061404915606829,validation
__all__,20.613332399257366,5288,timesnet,150.7344300861385,test
in_medium_temp1,1.270194514804527,658.0,timesnet,2.259916862758919,test
in_temp,1.29739864788067,618.0,timesnet,2.784070468713015,test
in_temp2,1.296225162610384,674.0,timesnet,2.767245641424099,test
in_hum,3.557114474182862,623.0,timesnet,7.867344969862146,test
in_hum2,3.5098617644912893,647.0,timesnet,8.193775503659424,test
in_medium_hum1,1.590920670316955,676.0,timesnet,7.094288992907007,test
in_co2,56.82856983452578,687.0,timesnet,247.6952211441572,test
in_co2_2,87.78498281425058,705.0,timesnet,332.34426550891527,test
__all__,2.756208298173582,4777,patch_tst,5.805481563228966,validation
in_medium_temp1,1.4232279132603978,522.0,patch_tst,2.47014929278313,validation
in_temp,1.098946679619207,634.0,patch_tst,2.0746762609814415,validation
in_temp2,1.1899774235193952,624.0,patch_tst,2.1874143146087826,validation
in_hum,2.367659901366428,599.0,patch_tst,4.224126468925113,validation
in_hum2,2.4466925029532267,582.0,patch_tst,4.236407341354367,validation
in_medium_hum1,0.0646706664007637,597.0,patch_tst,0.0807887921865795,validation
in_co2,6.5915729003949775,629.0,patch_tst,10.488335427393038,validation
in_co2_2,6.707276106223102,590.0,patch_tst,10.232219284510602,validation
__all__,21.0520685388076,5288,patch_tst,154.28576839467829,test
in_medium_temp1,1.3758567589826463,658.0,patch_tst,2.1892468000427936,test
in_temp,1.083142087330527,618.0,patch_tst,2.017896066978668,test
in_temp2,1.4790889205260052,674.0,patch_tst,2.968378090881347,test
in_hum,3.7587345879368175,623.0,patch_tst,7.716712312620639,test
in_hum2,3.2314726717354483,647.0,patch_tst,6.428284423551144,test
in_medium_hum1,2.332988146460564,676.0,patch_tst,8.899920524287044,test
in_co2,22.788060740321967,687.0,patch_tst,66.75623146183737,test
in_co2_2,123.5273542707705,705.0,patch_tst,417.1594946825013,test
