column,confusion_matrix_false_negative,confusion_matrix_false_positive,confusion_matrix_true_negative,confusion_matrix_true_positive,f1_score,false_negative,false_positive,injected_cells,model_name,pr_auc,precision,recall,roc_auc,split,threshold,true_negative,true_positive
__all__,,,,,0.8405358259553039,4031,814,16800,modern_tcn,0.35404838212931267,0.9400721490097916,0.7600595238095238,0.8308400988251522,validation,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",150391,12769
in_medium_temp1,239,207,18559,1848,0.8923225494929984,4031,814,16800,modern_tcn,0.9589397231376071,0.8992700729927007,0.8854815524676569,0.9936653576458071,validation,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",150391,12769
in_temp,301,66,18857,1798,0.9073933888468332,4031,814,16800,modern_tcn,0.9632544519465036,0.9645922746781116,0.8565983801810386,0.9949189031842065,validation,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",150391,12769
in_temp2,119,188,18771,1944,0.9268176400476758,4031,814,16800,modern_tcn,0.9781756736381444,0.9118198874296435,0.9423170140571983,0.997506239514679,validation,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",150391,12769
in_hum,213,14,18911,1884,0.9431789737171464,4031,814,16800,modern_tcn,0.9851899321410282,0.9926238145416227,0.8984263233190272,0.9978023584046909,validation,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",150391,12769
in_hum2,162,13,18881,1966,0.9573898222546872,4031,814,16800,modern_tcn,0.9914540418325554,0.9934310257705912,0.9238721804511278,0.9987989483871635,validation,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",150391,12769
in_medium_hum1,1069,170,18747,1036,0.6257928118393234,4031,814,16800,modern_tcn,0.6116178067598416,0.8590381426202321,0.49216152019002374,0.771567355683165,validation,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",150391,12769
in_co2,985,17,18861,1158,0.6980108499095841,4031,814,16800,modern_tcn,0.7017983005442154,0.985531914893617,0.540363975734951,0.9153651684018467,validation,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",150391,12769
in_co2_2,943,139,18804,1135,0.6772076372315036,4031,814,16800,modern_tcn,0.6136876428534809,0.890894819466248,0.5461982675649664,0.9175959061013648,validation,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",150391,12769
__all__,,,,,0.8063709358957484,4794,1090,17046,modern_tcn,0.36532450801228766,0.9183031029830611,0.7187609996480112,0.8416099575295833,test,"{'in_medium_temp1': 15.978225388614295, 'in_temp': 17.275971721670928, 'in_temp2': 13.457061226896393, 'in_hum': 34.93320402920539, 'in_hum2': 36.350436878638526, 'in_medium_hum1': 59.10350896624692, 'in_co2': 1467.0806221554637, 'in_co2_2': 1381.1542649373373}",152325,12252
