column,mae,masked_cells,model_name,rmse,split
__all__,20.461144324954677,16800,modern_tcn,112.29319040817455,validation
in_medium_temp1,2.183210517300573,2087.0,modern_tcn,3.5108388206984267,validation
in_temp,1.8858173406931231,2099.0,modern_tcn,3.7732143886259153,validation
in_temp2,1.6118355390086547,2063.0,modern_tcn,2.9273908850832857,validation
in_hum,3.6559957646278582,2097.0,modern_tcn,6.8629986292613046,validation
in_hum2,3.666820494449821,2128.0,modern_tcn,6.560785766694836,validation
in_medium_hum1,6.037104847364178,2105.0,modern_tcn,11.902498762365841,validation
in_co2,86.20861958105499,2143.0,modern_tcn,247.92016270168764,validation
in_co2_2,57.2591541857682,2078.0,modern_tcn,195.674943976909,validation
__all__,14.206372658221337,17046,modern_tcn,131.30309020087464,test
in_medium_temp1,1.9549414052194891,2131.0,modern_tcn,3.3798474492017947,test
in_temp,1.2437464649732575,2140.0,modern_tcn,2.447904263761486,test
in_temp2,1.2063911183778413,2145.0,modern_tcn,2.019490303702712,test
in_hum,2.753336744969591,2163.0,modern_tcn,5.269528133212472,test
in_hum2,2.8680039598293763,2130.0,modern_tcn,5.645623980284044,test
in_medium_hum1,3.9508119505546335,2141.0,modern_tcn,7.976542470717349,test
in_co2,52.138462119657,2141.0,modern_tcn,234.8918999179663,test
in_co2_2,48.951372367603895,2055.0,modern_tcn,292.18826085475433,test
__all__,18.695319213121746,16800,timesnet,106.9232417499092,validation
in_medium_temp1,1.9067099871014452,2087.0,timesnet,3.1557978302613408,validation
in_temp,1.742158251134981,2099.0,timesnet,3.4861848531608244,validation
in_temp2,1.5464416855968914,2063.0,timesnet,2.8634927633168896,validation
in_hum,3.3653382632067963,2097.0,timesnet,6.488584064652665,validation
in_hum2,4.083954132662591,2128.0,timesnet,7.208042666419909,validation
in_medium_hum1,5.528343800653345,2105.0,timesnet,10.248561947426287,validation
in_co2,77.82513053743442,2143.0,timesnet,232.88683132232254,validation
in_co2_2,52.49796559022998,2078.0,timesnet,190.43014402075795,validation
__all__,13.548824286494444,17046,timesnet,130.1084037748617,test
in_medium_temp1,1.8244957016729622,2131.0,timesnet,3.194816825399401,test
in_temp,1.4254419551918833,2140.0,timesnet,2.82728215616074,test
in_temp2,1.1829473620088367,2145.0,timesnet,2.0852630670084995,test
in_hum,2.6466485474230854,2163.0,timesnet,5.3642154145516425,test
in_hum2,2.7709645686798434,2130.0,timesnet,5.782406431434312,test
in_medium_hum1,4.804770037790064,2141.0,timesnet,8.816115371130419,test
in_co2,46.936060474859595,2141.0,timesnet,234.14920374635298,test
in_co2_2,48.21090856678955,2055.0,timesnet,288.3191050044134,test
__all__,20.959283762669365,16800,patch_tst,114.24450338569882,validation
in_medium_temp1,1.9466415298689328,2087.0,patch_tst,3.1744743559044033,validation
in_temp,1.5868919853932517,2099.0,patch_tst,3.137992419325245,validation
in_temp2,1.4376693229476991,2063.0,patch_tst,2.5713491647975086,validation
in_hum,3.1791841747555667,2097.0,patch_tst,5.723245560847929,validation
in_hum2,3.4903823973666825,2128.0,patch_tst,6.3571944731681915,validation
in_medium_hum1,3.850323276350794,2105.0,patch_tst,9.44822606797215,validation
in_co2,78.25617754614952,2143.0,patch_tst,231.91520266020385,validation
in_co2_2,73.07715414593446,2078.0,patch_tst,223.2965463639823,validation
__all__,13.90497891426095,17046,patch_tst,136.7566235103706,test
in_medium_temp1,1.8289342167037121,2131.0,patch_tst,3.1283673183608935,test
in_temp,1.2708628975171703,2140.0,patch_tst,2.326952518668148,test
in_temp2,1.1585928329855244,2145.0,patch_tst,2.066068927805754,test
in_hum,2.608136933299978,2163.0,patch_tst,5.230936377832184,test
in_hum2,2.717363246218115,2130.0,patch_tst,5.374234791824981,test
in_medium_hum1,2.8313413195796464,2141.0,patch_tst,7.477448760791364,test
in_co2,40.8744867192397,2141.0,patch_tst,203.88853847450113,test
in_co2_2,59.81431717614172,2055.0,patch_tst,334.1955794733762,test
