crop,feature_variant,model,model_family,baseline_only,deployment_eligible,candidate_status,validation_rollout_weighted_nrmse,one_step_nrmse,rollout_15min_nrmse,rollout_30min_nrmse,rollout_60min_nrmse,skill_vs_persistence_15min,skill_vs_persistence_30min,skill_vs_persistence_60min,physical_violation_rate_max,nan_inf_count_total
strawberry,with_quality_flags,persistence,baseline,True,False,completed,0.26115542,0.1320506761,0.1917220287,0.2703277113,0.3551168381,0,0,0,0,0
strawberry,with_quality_flags,linear_svr,linear,False,False,completed,0.2704623699,0.1514543688,0.2018741191,0.2705290495,0.369683624,0.0001543677086,0.0003543833838,0.0003426948907,0.0005011951577,0
strawberry,with_quality_flags,knn,instance_based,False,True,completed,0.264173385,0.1512853848,0.19431549,0.2641248183,0.3607036732,-0.03901024517,0.07033450904,0.001463630208,0,0
strawberry,with_quality_flags,extra_trees,tree_ensemble,False,True,completed,0.306642044,0.2004163914,0.2923608477,0.33522444,0.3830028385,-0.9041989621,-0.4716610377,-0.2861031138,0,0
strawberry,with_quality_flags,lightgbm,tree_ensemble,False,True,completed,0.2683831219,0.1374287437,0.1984457446,0.2734668152,0.3667469187,-0.1253749486,-0.1190550705,-0.227630652,0,0
strawberry,with_quality_flags,xgboost,tree_ensemble,False,False,completed,0.2917780707,0.1622552926,0.2338274526,0.3155867209,0.3823610396,-0.3238026667,-0.2713008286,-0.2272941637,1.927673683e-05,0
strawberry,with_quality_flags,mlp,neural_network,False,False,completed,0.5454969451,0.8459658416,0.6420031743,0.5684502115,0.5656855137,-3.129756587,-1.407759553,-0.7614073381,0.0003662579998,0
melon,with_quality_flags,persistence,baseline,True,False,completed,0.1391880244,0.06470574295,0.0879304834,0.1275298398,0.20113389,0,0,0,0,0
melon,with_quality_flags,linear_regression,linear,False,False,completed,1.993079846,0.07698558811,0.1401331207,0.334964287,4.157994664,-1.123875484,-2.189842286,-32.66285644,0.02219921785,0
melon,with_quality_flags,linear_svr,linear,False,False,completed,1.025365721,0.06081767291,0.09380091536,0.2898660188,2.061880259,-0.2002303846,-1.682917879,-10.75043457,0.02231423971,0
melon,with_quality_flags,knn,instance_based,False,True,completed,0.1249499987,0.06270647082,0.08034294469,0.1146851173,0.1792950593,-0.03195352138,-0.062926178,-0.09994626217,0,0
melon,with_quality_flags,extra_trees,tree_ensemble,False,True,completed,0.1261101645,0.06199937968,0.0823769954,0.1171004433,0.1803465133,-0.09751669895,-0.142639939,-0.1942138453,0,0
melon,with_quality_flags,lightgbm,tree_ensemble,False,True,completed,0.1238261655,0.06300775168,0.08072985331,0.115253909,0.1764311153,-0.05484635603,-0.1132372255,-0.1548800911,0,0
melon,with_quality_flags,xgboost,tree_ensemble,False,True,completed,0.12722971,0.06374610454,0.07624940264,0.1223650124,0.1811044479,0.005161941293,-0.2605251769,-0.2243882393,0,0
melon,with_quality_flags,mlp,neural_network,False,False,completed,6.129912612,0.06477137075,0.7201179645,2.976360684,11.63068952,-13.92762166,-46.43462008,-126.9897186,0.01736829998,0
cucumber,with_quality_flags,persistence,baseline,True,False,completed,0.1457348362,0.06521010164,0.09044870453,0.1329309326,0.2115234138,0,0,0,0,0
cucumber,with_quality_flags,linear_regression,linear,False,False,completed,0.2152421151,0.06799910907,0.1079625317,0.1775727847,0.3350889037,-0.2637326447,-0.4149975322,-0.6702331392,0.0004306632214,0
cucumber,with_quality_flags,linear_svr,linear,False,False,completed,0.1622323636,0.06379104433,0.08946827141,0.1376695754,0.2454363368,-0.004472718299,-0.03433764661,-0.1164093875,0.0003588860178,0
cucumber,with_quality_flags,knn,instance_based,False,True,completed,0.1476894677,0.06503094085,0.09315345717,0.1354625494,0.213596788,-0.1068895951,-0.1259856837,-0.1290766588,0,0
cucumber,with_quality_flags,extra_trees,tree_ensemble,False,True,completed,0.11211814,0.05981625803,0.07709998979,0.1056862867,0.1572987405,0.08292168726,0.1349024503,0.1832978231,0,0
cucumber,with_quality_flags,lightgbm,tree_ensemble,False,True,completed,0.1116738331,0.05878782722,0.07533192856,0.1039796351,0.1578674139,0.1207746659,0.1759370699,0.2081266089,0,0
cucumber,with_quality_flags,xgboost,tree_ensemble,False,True,completed,0.1141726247,0.05907648553,0.07526193661,0.104945958,0.162806696,0.1017072701,0.1360933946,0.1373276997,0,0
cucumber,with_quality_flags,mlp,neural_network,False,True,completed,0.2840064913,0.09375406412,0.1742456681,0.2716120678,0.4127223541,-0.7303315554,-0.9358439532,-0.95766412,0,0
strawberry,without_quality_flags,persistence,baseline,True,False,completed,0.26115542,0.1320506761,0.1917220287,0.2703277113,0.3551168381,0,0,0,0,0
strawberry,without_quality_flags,linear_svr,linear,False,False,completed,0.2565021973,0.134547297,0.1924201126,0.2667973008,0.3465331236,-1.57402677e-05,2.02986542e-05,3.550111251e-05,0.0001349371578,0
