crop,feature_variant,model,target,deployment_eligible,mae,rmse,nrmse,r2,absolute_error_q90,absolute_error_cvar90
strawberry,with_quality_flags,persistence,indoor_temperature,False,0.1554325288,0.4950565708,0.07843498691,0.9938479528,0.32,0.6173929558
strawberry,with_quality_flags,persistence,indoor_humidity,False,0.5318323619,0.8942204534,0.06377298119,0.9959330069,1.13,1.925207756
strawberry,with_quality_flags,persistence,indoor_co2,False,3.292884939,43.5186374,0.2539440601,0.9355124143,3,11.23527163
strawberry,with_quality_flags,linear_svr,indoor_temperature,False,0.2059249507,0.867968018,0.1375177387,0.9810888715,0.2678855636,1.249914341
strawberry,with_quality_flags,linear_svr,indoor_humidity,False,0.5077757676,0.8821018078,0.06290871762,0.9960424932,1.112397587,1.919242329
strawberry,with_quality_flags,linear_svr,indoor_co2,False,3.307211295,43.51736753,0.2539366501,0.9355161777,3.100279931,21.19380069
strawberry,with_quality_flags,knn,indoor_temperature,True,0.1363382051,0.5061913569,0.08019914247,0.9935680975,0.2414285714,0.6423691343
strawberry,with_quality_flags,knn,indoor_humidity,True,0.5359272828,0.8946330083,0.0638024033,0.9959292533,1.152727273,1.952156003
strawberry,with_quality_flags,knn,indoor_co2,True,7.186925086,53.1000818,0.3098546088,0.9039901214,3.727272727,56.34464949
strawberry,with_quality_flags,extra_trees,indoor_temperature,True,0.1236063021,0.460903658,0.07302392194,0.9946675068,0.2220175071,0.5664263655
strawberry,with_quality_flags,extra_trees,indoor_humidity,True,0.4892100467,0.8392359414,0.05985165929,0.9964177789,1.062123301,1.772858942
strawberry,with_quality_flags,extra_trees,indoor_co2,True,12.57382767,80.26563235,0.4683735931,0.7806261773,4.759723801,111.3963862
strawberry,with_quality_flags,lightgbm,indoor_temperature,True,0.1156387821,0.4640819656,0.0735274816,0.9945937094,0.2203556627,0.504011214
strawberry,with_quality_flags,lightgbm,indoor_humidity,True,0.4829625317,0.8354031644,0.05957831773,0.9964504241,1.059261987,1.77856302
strawberry,with_quality_flags,lightgbm,indoor_co2,True,8.243531284,47.84341866,0.2791804319,0.9220582865,10.44159031,59.67498136
strawberry,with_quality_flags,xgboost,indoor_temperature,False,0.1308886151,0.5201657931,0.08241320201,0.9932080641,0.2128584519,0.6748101864
strawberry,with_quality_flags,xgboost,indoor_humidity,False,0.5202142644,0.9065591236,0.06465293622,0.9958199978,1.119928454,1.935962679
strawberry,with_quality_flags,xgboost,indoor_co2,False,8.188655233,58.21467055,0.3396997397,0.8846040868,3.860060167,68.99804636
strawberry,with_quality_flags,mlp,indoor_temperature,False,0.3029336481,1.661169455,0.2631897286,0.9307311668,0.2580243885,2.237986005
strawberry,with_quality_flags,mlp,indoor_humidity,False,0.610470411,1.201621694,0.08569586773,0.9926562183,1.198642074,2.540841121
strawberry,with_quality_flags,mlp,indoor_co2,False,49.80091063,375.1330759,2.189011929,-3.791773223,3.869787385,416.7321226
melon,with_quality_flags,persistence,indoor_temperature,False,0.1074614236,0.1541589254,0.02666754541,0.999288842,0.28,0.349290429
melon,with_quality_flags,persistence,indoor_humidity,False,0.4608793761,0.6390262679,0.05707423041,0.9967425322,0.98,1.457913907
melon,with_quality_flags,persistence,indoor_co2,False,1.664509706,2.139331207,0.110375453,0.9878172594,3,3.642235123
melon,with_quality_flags,linear_regression,indoor_temperature,False,0.08557604873,0.1093999829,0.01892481415,0.9996418514,0.1717140064,0.2285611038
melon,with_quality_flags,linear_regression,indoor_humidity,False,0.4126043951,0.588476285,0.05255939039,0.9972375105,0.9266312893,1.371274508
melon,with_quality_flags,linear_regression,indoor_co2,False,2.506492514,3.090946532,0.1594725598,0.9745685027,5.042479076,6.192702553
melon,with_quality_flags,linear_svr,indoor_temperature,False,0.07299413153,0.0982092421,0.01698895744,0.9997113753,0.1526245964,0.2126093035
melon,with_quality_flags,linear_svr,indoor_humidity,False,0.4183292784,0.5974087639,0.05335718914,0.9971530104,0.9301994383,1.389091988
melon,with_quality_flags,linear_svr,indoor_co2,False,1.727380412,2.172890108,0.1121068721,0.9874320492,3.541884422,4.513734713
melon,with_quality_flags,knn,indoor_temperature,True,0.06966362733,0.1011749833,0.01750199318,0.9996936802,0.1527272727,0.2318903523
melon,with_quality_flags,knn,indoor_humidity,True,0.4629366336,0.640936897,0.05724487706,0.9967230241,1.000909091,1.479454244
melon,with_quality_flags,knn,indoor_co2,True,1.741526766,2.197421718,0.1133725422,0.9871466667,3.581818182,4.583446404
melon,with_quality_flags,extra_trees,indoor_temperature,True,0.07169173525,0.1025785638,0.01774479486,0.9996851223,0.1640207939,0.2365661819
melon,with_quality_flags,extra_trees,indoor_humidity,True,0.425597754,0.6031536937,0.05387029394,0.9970979914,0.9332351267,1.398425486
melon,with_quality_flags,extra_trees,indoor_co2,True,1.767322498,2.217007697,0.1143830502,0.9869165178,3.578323081,4.602146322
melon,with_quality_flags,lightgbm,indoor_temperature,True,0.0657185828,0.09283645396,0.01605953301,0.9997420914,0.1498266667,0.2153188617
