crop,feature_variant,model,deployment_eligible,action_response_eligible,fully_action_insensitive,actions_total,actions_with_sufficient_support,actions_insufficient_support,actions_status_ok,actions_marked_insensitive,minimum_counterfactual_sensitivity,mean_counterfactual_sensitivity,physical_violation_rate_15min,physical_violation_rate_30min,physical_violation_rate_60min,nan_inf_count_total,drift_slope_nmae
strawberry,with_quality_flags,persistence,False,False,True,6,6,0,0,6,0,0,0,0,0,0,0.01393644577
strawberry,with_quality_flags,linear_svr,False,True,False,6,6,0,0,0,0.02068064927,0.04376043313,0,0,0.0005011951577,0,0.01139627967
strawberry,with_quality_flags,knn,True,True,False,6,6,0,0,0,0.04327313312,0.103583012,0,0,0,0,0.01265439977
strawberry,with_quality_flags,extra_trees,True,True,False,6,6,0,0,0,0.03091053189,0.352330185,0,0,0,0,0.01206932776
strawberry,with_quality_flags,lightgbm,True,True,False,6,6,0,0,0,0.001986557927,0.01639890705,0,0,0,0,0.0139285587
strawberry,with_quality_flags,xgboost,False,True,False,6,6,0,0,0,0.005398077887,0.02972912281,0,0,1.927673683e-05,0,0.01210648115
strawberry,with_quality_flags,mlp,False,True,False,6,6,0,0,0,0.1796918419,0.3264547226,0,0,0.0003662579998,0,0.0002900951794
melon,with_quality_flags,persistence,False,False,True,6,1,5,0,6,0,0,0,0,0,0,0.0153169125
melon,with_quality_flags,linear_regression,False,True,False,6,1,5,0,0,0.2814639257,0.2814639257,0,0,0.02219921785,0,0.1652930492
melon,with_quality_flags,linear_svr,False,True,False,6,1,5,0,0,0.3300951414,0.3300951414,0,0,0.02231423971,0,0.09591241554
melon,with_quality_flags,knn,True,True,False,6,1,5,0,1,0.09540599848,0.09540599848,0,0,0,0,0.01291001083
melon,with_quality_flags,extra_trees,True,True,False,6,1,5,0,0,0.06395639405,0.06395639405,0,0,0,0,0.01241485222
melon,with_quality_flags,lightgbm,True,True,False,6,1,5,0,0,0.1037347822,0.1037347822,0,0,0,0,0.01244925844
melon,with_quality_flags,xgboost,True,True,False,6,1,5,0,0,0.2242645293,0.2242645293,0,0,0,0,0.01141904583
melon,with_quality_flags,mlp,False,True,False,6,1,5,0,0,0.1013674337,0.1013674337,0,0,0.01736829998,0,0.7352322575
cucumber,with_quality_flags,persistence,False,False,True,6,2,4,0,4,0,0,0,0,0,0,0.01750686198
cucumber,with_quality_flags,linear_regression,False,True,False,6,2,4,0,0,0.2256664212,0.5723485595,0,0,0.0004306632214,0,0.02462748183
cucumber,with_quality_flags,linear_svr,False,True,False,6,2,4,0,0,0.1513540653,0.3356399155,0,0,0.0003588860178,0,0.02042686571
cucumber,with_quality_flags,knn,True,True,False,6,2,4,0,0,0.04794051001,0.07354623241,0,0,0,0,0.01886835982
cucumber,with_quality_flags,extra_trees,True,True,False,6,2,4,0,0,0.02153521343,0.08444304017,0,0,0,0,0.01220510284
cucumber,with_quality_flags,lightgbm,True,True,False,6,2,4,0,0,0.001260756422,0.1042482263,0,0,0,0,0.01226612494
cucumber,with_quality_flags,xgboost,True,True,False,6,2,4,0,0,4.200590774e-05,0.06043734874,0,0,0,0,0.01239279799
cucumber,with_quality_flags,mlp,True,True,False,6,2,4,0,0,0.2514435669,0.2592550908,0,0,0,0,0.03578441739
strawberry,without_quality_flags,persistence,False,False,True,6,6,0,0,6,0,0,0,0,0,0,0.01393644577
strawberry,without_quality_flags,linear_svr,False,True,False,6,6,0,0,0,0.01788064175,0.03988871198,0,0,0.0001349371578,0,0.01166225542
strawberry,without_quality_flags,knn,True,True,False,6,6,0,0,0,0.04431987284,0.1037507046,0,0,0,0,0.01264738238
strawberry,without_quality_flags,extra_trees,True,True,False,6,6,0,0,0,0.06297353369,0.389921057,0,0,0,0,0.01274440441
strawberry,without_quality_flags,lightgbm,True,True,False,6,6,0,0,0,0.000341168819,0.007704243162,0,0,0,0,0.01167469024
strawberry,without_quality_flags,xgboost,True,True,False,6,6,0,0,0,0.003338027076,0.03019604883,0,0,0,0,0.01283787313
strawberry,without_quality_flags,mlp,False,True,False,6,6,0,0,0,0.1279430446,0.1769919382,7.710694734e-05,0.0001542138947,0.0002505975788,0,0.01444853354
melon,without_quality_flags,persistence,False,False,True,6,1,5,0,6,0,0,0,0,0,0,0.0153169125
melon,without_quality_flags,linear_regression,False,True,False,6,1,5,0,0,0.2836291167,0.2836291167,0,0,0.02214170692,0,0.1651232897
melon,without_quality_flags,linear_svr,False,True,False,6,1,5,0,0,0.3542087429,0.3542087429,0,0,0.02288934898,0,0.1005067835
melon,without_quality_flags,knn,True,True,False,6,1,5,0,1,0.09643819545,0.09643819545,0,0,0,0,0.01309014246
melon,without_quality_flags,extra_trees,True,True,False,6,1,5,0,0,0.1251991351,0.1251991351,0,0,0,0,0.01261050519
melon,without_quality_flags,lightgbm,True,True,False,6,1,5,0,0,0.08131981273,0.08131981273,0,0,0,0,0.01193335782
melon,without_quality_flags,xgboost,True,True,False,6,1,5,0,0,0.1486803133,0.1486803133,0,0,0,0,0.0113215936
melon,without_quality_flags,mlp,False,True,False,6,1,5,0,0,0.1723765513,0.1723765513,0.04278812974,0.08488612836,0.1461352657,0,3.215560313
cucumber,without_quality_flags,persistence,False,False,True,6,2,4,0,4,0,0,0,0,0,0,0.01750686198
cucumber,without_quality_flags,linear_regression,True,True,False,6,2,4,0,0,0.2300614544,0.5658643348,0,0,0,0,0.02363292022
cucumber,without_quality_flags,linear_svr,True,True,False,6,2,4,0,0,0.1543298415,0.3317580544,0,0,0,0,0.02362650289
cucumber,without_quality_flags,knn,True,True,False,6,2,4,0,0,0.04794051001,0.07354623241,0,0,0,0,0.01886835982
cucumber,without_quality_flags,extra_trees,True,True,False,6,2,4,0,0,0.02285017023,0.08035406993,0,0,0,0,0.01224927563
cucumber,without_quality_flags,lightgbm,True,True,False,6,2,4,0,0,0.001260756422,0.1042482263,0,0,0,0,0.01226612494
cucumber,without_quality_flags,xgboost,True,True,False,6,2,4,0,0,0.0003924108217,0.07261237008,0,0,0,0,0.01211828793
cucumber,without_quality_flags,mlp,True,True,False,6,2,4,0,0,0.2161424791,0.2876994925,0,0,0,0,0.04587007803
