crop,feature_variant,model,deployment_eligible,benchmark_status,training_time_seconds,hpo_total_time_seconds,inference_latency_median_ms,inference_latency_p95_ms,peak_cpu_memory_mb,peak_gpu_memory_mb,serialized_model_size_mb,artifact_directory_size_mb,device
strawberry,with_quality_flags,persistence,False,completed,3.144145012e-06,9.916722775e-06,9.078383446,9.172958508,162.1445312,,0.002548217773,0.5533647537,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,with_quality_flags,linear_svr,False,completed,101.5696868,453.0263705,14.99893144,17.64603108,164.1523438,,0.010222435,1.519808769,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,with_quality_flags,knn,True,completed,0.06708635949,423.519152,42.16540605,43.47731769,300.2148438,,133.1060686,134.6152077,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,with_quality_flags,extra_trees,True,completed,10.6105603,2230.959861,93.76357123,94.13953573,444.1914062,,135.1042929,137.5735655,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,with_quality_flags,lightgbm,True,completed,0.6753885448,815.6687733,15.18147998,15.96186161,167.2734375,,0.4675235748,2.942976952,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,with_quality_flags,xgboost,False,completed,3.849390892,881.4877396,25.32192878,25.44134781,369.328125,,1.588255882,4.063863754,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,with_quality_flags,mlp,False,completed,29.28588475,964.3554419,15.67883976,16.52413346,165.9453125,,1.164886475,3.635741234,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,with_quality_flags,persistence,False,completed,4.855915904e-06,1.449137926e-05,9.209105745,9.629654139,162.1601562,,0.002548217773,0.2090539932,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,with_quality_flags,linear_regression,False,completed,0.08266205527,259.4269964,16.67954773,18.93453114,164.1132812,,0.01151180267,0.965968132,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,with_quality_flags,linear_svr,False,completed,5.795057124,360.175088,17.81373657,18.07495058,164.1445312,,0.01022148132,1.155423164,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,with_quality_flags,knn,True,completed,0.02819628455,382.9777886,24.72187579,24.95043576,210.3945312,,42.37655926,43.52041817,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,with_quality_flags,extra_trees,True,completed,0.9791800603,2191.853239,179.6314791,191.9892989,219.4375,,22.47825813,24.56799126,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,with_quality_flags,lightgbm,True,completed,0.5834599417,679.4158316,15.04248008,15.28235748,167.5703125,,0.634396553,2.728064537,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,with_quality_flags,xgboost,True,completed,1.381203704,726.6661451,26.12252347,27.05591731,366.0820312,,1.625857353,3.71969223,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,with_quality_flags,mlp,False,completed,11.02497942,784.7195416,15.29965363,16.34897254,166.4335938,,1.306394577,3.391680717,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,persistence,False,completed,3.12551856e-06,8.132308722e-06,10.08027792,10.83670184,162.1328125,,0.002548217773,0.1850481033,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,linear_regression,False,completed,0.05888952129,254.9081757,15.55142365,16.88878387,164.0703125,,0.01151180267,0.9523019791,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,linear_svr,False,completed,8.356737068,369.7513778,15.59561677,16.98486954,164.1054688,,0.010222435,1.142297745,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,knn,True,completed,0.02027749829,349.9536271,21.83480002,22.21260667,200.9101562,,32.6646452,33.79649067,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,extra_trees,True,completed,0.7333266065,2376.995749,213.6119939,227.0669792,209.9335938,,17.28031731,19.36900139,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
