crop,model,baseline_only,with_flags_deployment_eligible,without_flags_deployment_eligible,paired_validation_window_count,with_flags_paired_rollout_nrmse,without_flags_paired_rollout_nrmse,difference_with_minus_without,bootstrap_ci95_lower,bootstrap_ci95_upper,quality_flag_effect,bootstrap_samples,bootstrap_seed
strawberry,extra_trees,False,True,True,1441,0.1016571484,0.1046213893,-0.00296424091,-0.004786349218,-0.001054705254,with_flags_improved,10000,42
strawberry,knn,False,True,True,1441,0.09800077767,0.09824056592,-0.0002397882464,-0.0005352383562,-1.79062324e-05,with_flags_improved,10000,42
strawberry,lightgbm,False,True,True,1441,0.1036055806,0.08771114904,0.01589443153,0.01089450216,0.02136922041,with_flags_worsened,10000,42
strawberry,linear_svr,False,False,False,1441,0.08989761747,0.08724014559,0.002657471875,0.0004863839345,0.004953332263,with_flags_worsened,10000,42
strawberry,mlp,False,False,False,1441,0.1550072114,0.1269288643,0.02807834712,0.01436406333,0.0435461648,with_flags_worsened,10000,42
strawberry,persistence,True,False,False,1441,0.0979541552,0.0979541552,0,0,0,no_significant_difference,10000,42
strawberry,xgboost,False,False,True,1441,0.09636809891,0.09426182082,0.002106278089,-0.002240440626,0.005527394223,no_significant_difference,10000,42
melon,extra_trees,False,True,True,483,0.1127197152,0.1136959424,-0.0009762271994,-0.003177983965,0.001230506027,no_significant_difference,10000,42
melon,knn,False,True,True,483,0.1171368545,0.117456874,-0.0003200195144,-0.001179162758,0.0004565161944,no_significant_difference,10000,42
melon,lightgbm,False,True,True,483,0.1131169164,0.1105440588,0.002572857644,-0.0009357916482,0.006181486506,no_significant_difference,10000,42
melon,linear_regression,False,False,False,483,1.23907639,1.238028788,0.001047601482,-0.0006102586034,0.003871581919,no_significant_difference,10000,42
melon,linear_svr,False,False,False,483,0.6912971201,0.7213684454,-0.03007132531,-0.0364609645,-0.02401775949,with_flags_improved,10000,42
melon,mlp,False,False,False,483,4.387360669,16.64111352,-12.25375285,-13.82482254,-10.70482824,with_flags_improved,10000,42
melon,persistence,True,False,False,483,0.1285314038,0.1285314038,0,0,0,no_significant_difference,10000,42
melon,xgboost,False,True,True,483,0.1080050148,0.1077431621,0.0002618526832,-0.003124127092,0.004372387954,no_significant_difference,10000,42
cucumber,extra_trees,False,True,True,387,0.1057454648,0.1060333238,-0.0002878590174,-0.0007557939764,0.0001803221913,no_significant_difference,10000,42
cucumber,knn,False,True,True,387,0.1389723652,0.1389723652,0,0,0,no_significant_difference,10000,42
cucumber,lightgbm,False,True,True,387,0.1055307104,0.1055307104,0,0,0,no_significant_difference,10000,42
cucumber,linear_regression,False,False,True,387,0.1740876073,0.1685735682,0.005514039106,0.0003206211866,0.01581456067,with_flags_worsened,10000,42
cucumber,linear_svr,False,False,True,387,0.1502213179,0.1658995313,-0.01567821346,-0.01905900483,-0.01194537773,with_flags_improved,10000,42
cucumber,mlp,False,True,True,387,0.2285386221,0.2891682578,-0.06062963568,-0.07162155805,-0.05026473277,with_flags_improved,10000,42
cucumber,persistence,True,False,False,387,0.1333076396,0.1333076396,0,0,0,no_significant_difference,10000,42
cucumber,xgboost,False,True,True,387,0.1064159882,0.1052321292,0.001183858909,-0.0008205601042,0.00316732333,no_significant_difference,10000,42
