column,classification,used_by_primary_runtime,used_by_geas30_aux_or_legacy,used_by_evaluation,primary_runtime_files,geas30_aux_or_legacy_files,evaluation_files
idx,used_by_primary_updated_runtime,True,False,True,GEAS3.0/source/inner_layer/core/sensor_QC.py; GEAS3.0/source/inner_layer/core/solar_eta.py; GEAS3.0/source/inner_layer/policy/controller_legacy.py,,GEAS3.0/evaluation/eval_period_selection/no_data/analyze_episode_length.py; GEAS3.0/evaluation/limited_data_eval.py; GEAS3.0/evaluation/sufficient_data_eval.py
iot_data_idx,used_by_primary_updated_runtime,True,True,True,GEAS3.0/source/inner_layer/core/config.py; GEAS3.0/source/inner_layer/core/sensor_QC.py; GEAS3.0/source/outer_layer/theta_limited.py; GEAS3.0/source/outer_layer/theta_sufficient.py,GEAS3.0/source/inner_layer/infra/repository.py; GEAS3.0/source/outer_layer/_tmp_miswired/theta_limited.py; GEAS3.0/source/outer_layer/_tmp_miswired/theta_sufficient_core.py; GEAS3.0/source/outer_layer/_tmp_miswired/theta_sufficient_structure_aware.py,GEAS3.0/evaluation/eval_period_selection/limited/select_informative_limited_windows.py; GEAS3.0/evaluation/eval_period_selection/sufficient/analyze_sufficient_period_coverage.py; GEAS3.0/evaluation/limited_data_eval.py; GEAS3.0/evaluation/sufficient_data_eval.py
reg_date,used_by_primary_updated_runtime,True,True,True,GEAS3.0/source/controller_layer/policy_common.py; GEAS3.0/source/controller_layer/runtime.py; GEAS3.0/source/inner_layer/core/config.py; GEAS3.0/source/inner_layer/core/features.py; GEAS3.0/source/inner_layer/core/preprocessing.py; GEAS3.0/source/inner_layer/core/sensor_QC.py; GEAS3.0/source/inner_layer/core/solar_eta.py; GEAS3.0/source/inner_layer/policy/controller.py; GEAS3.0/source/inner_layer/policy/controller_legacy.py; GEAS3.0/source/inner_layer/utilities/sensor_qc_runtime.py; GEAS3.0/source/inner_layer/utilities/utils.py; GEAS3.0/source/outer_layer/daily_modeling_batch.py; GEAS3.0/source/outer_layer/daily_policy_update.py; GEAS3.0/source/outer_layer/data_case_classifier.py; GEAS3.0/source/outer_layer/theta_limited.py; GEAS3.0/source/outer_layer/theta_sufficient.py,GEAS3.0/source/controller_layer/control_params.py; GEAS3.0/source/inner_layer/core/timeutils.py; GEAS3.0/source/inner_layer/infra/repository.py; GEAS3.0/source/inner_layer/utilities/control_io.py; GEAS3.0/source/inner_layer/utilities/runtime_debug.py; GEAS3.0/source/outer_layer/_tmp_miswired/theta_limited.py; GEAS3.0/source/outer_layer/_tmp_miswired/theta_sufficient.py; GEAS3.0/source/outer_layer/_tmp_miswired/theta_sufficient_core.py; GEAS3.0/source/outer_layer/_tmp_miswired/theta_sufficient_structure_aware.py,GEAS3.0/evaluation/eval_period_selection/limited/select_informative_limited_windows.py; GEAS3.0/evaluation/eval_period_selection/sufficient/analyze_sufficient_period_coverage.py; GEAS3.0/evaluation/limited_data_eval.py; GEAS3.0/evaluation/sufficient_data_eval.py
in_medium_temp1,not_referenced_in_updated_python,False,False,False,,,
in_medium_temp2,not_referenced_in_updated_python,False,False,False,,,
in_temp,used_by_primary_updated_runtime,True,True,True,GEAS3.0/source/controller_layer/policy_common.py; GEAS3.0/source/inner_layer/core/config.py; GEAS3.0/source/inner_layer/core/features.py; GEAS3.0/source/inner_layer/core/preprocessing.py; GEAS3.0/source/inner_layer/core/sensor_QC.py; GEAS3.0/source/inner_layer/policy/controller.py; GEAS3.0/source/inner_layer/policy/controller_legacy.py; GEAS3.0/source/inner_layer/utilities/sensor_qc_runtime.py; GEAS3.0/source/outer_layer/daily_policy_update.py; GEAS3.0/source/outer_layer/data_case_classifier.py; GEAS3.0/source/outer_layer/theta_limited.py; GEAS3.0/source/outer_layer/theta_sufficient.py,GEAS3.0/source/outer_layer/_tmp_miswired/theta_limited.py; GEAS3.0/source/outer_layer/_tmp_miswired/theta_sufficient_core.py; GEAS3.0/source/outer_layer/_tmp_miswired/theta_sufficient_structure_aware.py,GEAS3.0/evaluation/limited_data_eval.py; GEAS3.0/evaluation/sufficient_data_eval.py
in_temp2,used_by_updated_evaluation_only,False,False,True,,,GEAS3.0/evaluation/sufficient_data_eval.py
in_water_hot,not_referenced_in_updated_python,False,False,False,,,
in_water_cold,not_referenced_in_updated_python,False,False,False,,,
in_hum,used_by_primary_updated_runtime,True,True,True,GEAS3.0/source/inner_layer/core/config.py; GEAS3.0/source/inner_layer/core/features.py; GEAS3.0/source/inner_layer/core/preprocessing.py; GEAS3.0/source/inner_layer/core/sensor_QC.py; GEAS3.0/source/inner_layer/policy/controller.py; GEAS3.0/source/inner_layer/utilities/sensor_qc_runtime.py; GEAS3.0/source/outer_layer/daily_policy_update.py; GEAS3.0/source/outer_layer/data_case_classifier.py,GEAS3.0/source/outer_layer/_tmp_miswired/theta_limited.py,GEAS3.0/evaluation/limited_data_eval.py; GEAS3.0/evaluation/sufficient_data_eval.py
