window_id,target,window_start,window_end,row_start,row_stop_exclusive,alpha,a_alpha,phi,raw_phi_logit,sigma_rmse,beta_out_temp,beta_out_hum,beta_out_light,beta_out_windsp,b0,b1,cstar,valid_rows,beta_day,beta_fan,beta_skyl,beta_heat,beta_d_temp,beta_d_hum
1,temperature,2026-06-16 00:00:00,2026-06-16 23:55:00,0,288,0.01,48.29048328400338,0.9650352523230233,3.3178242868923284,0.10038130599132096,-0.2695769158390359,-0.2484284424464242,0.018344922954046043,0.20475910783942586,,,,,,,,,,
1,humidity,2026-06-16 00:00:00,2026-06-16 23:55:00,0,288,0.01,8.136609458210577,0.7871489479017861,1.3078248556968708,0.5983742990227475,-0.34675394278354,0.6757411550381089,-0.003021888564561172,0.10375830626392159,,,,,,,,,,
2,temperature,2026-06-16 05:00:00,2026-06-17 04:55:00,60,348,0.01,105.85247013218661,0.9698504153371151,3.4709707012267614,0.09435631049141247,-1.6577434960515594,-0.6181426086672999,0.019379634205683713,0.4474400439255659,,,,,,,,,,
2,humidity,2026-06-16 05:00:00,2026-06-17 04:55:00,60,348,0.01,-11.625309867748035,0.8025916160838448,1.402571414021858,0.5771589152242877,0.11610474445217644,0.8073359983167834,-0.0028716909608072307,-0.06984615192961179,,,,,,,,,,
3,temperature,2026-06-16 10:00:00,2026-06-17 09:55:00,120,408,0.01,44.08547214521415,0.9694940583108002,3.45885287192964,0.0998877343779324,-0.30732041949577676,-0.17272921620942966,0.02078955096329938,0.554126234447148,,,,,,,,,,
3,humidity,2026-06-16 10:00:00,2026-06-17 09:55:00,120,408,0.01,32.02532574848124,0.839044488670634,1.6511357312382218,0.5808088473744476,-0.8613222752580509,0.5068745589731459,-0.004305558507916413,0.21607462749516945,,,,,,,,,,
4,temperature,2026-06-16 15:00:00,2026-06-17 14:55:00,180,468,0.01,32.71239178717233,0.9548470832573097,3.0514963264727064,0.09446460978427426,0.13901118419188693,-0.1416071045896356,0.018508910345746657,-0.000740835028308217,,,,,,,,,,
4,humidity,2026-06-16 15:00:00,2026-06-17 14:55:00,180,468,0.01,50.37562336768024,0.852654771958859,1.7555764199024773,0.5695606552232776,-1.2681837168031163,0.3797867906406843,-0.004588107024961037,0.33791646336194253,,,,,,,,,,
5,temperature,2026-06-16 20:00:00,2026-06-17 19:55:00,240,528,0.01,6.973567415441516,0.957847703574214,3.123399626839872,0.08796675831365922,0.7596876313906946,0.026920211825323146,0.01721876757526654,-0.23000278224131873,,,,,,,,,,
5,humidity,2026-06-16 20:00:00,2026-06-17 19:55:00,240,528,0.01,46.391847896853434,0.8637511312919919,1.8468015543773384,0.5821651909610049,-1.0576440562905371,0.3752724216308855,-0.006839485301799683,0.3360889706306325,,,,,,,,,,
6,temperature,2026-06-17 01:00:00,2026-06-18 00:55:00,300,588,0.01,2.191131253893489,0.9523237530439793,2.9944717472169082,0.0856616301502529,0.9251254175629713,0.04971484314820999,0.014800976143450653,-0.189311316361726,,,,,,,,,,
6,humidity,2026-06-17 01:00:00,2026-06-18 00:55:00,300,588,0.01,29.88661318905284,0.9065999095039382,2.2728089245446594,0.6369218245085178,-0.6362339853715318,0.4790342664658188,-0.010142474601001738,0.45094749117317107,,,,,,,,,,
7,temperature,2026-06-17 06:00:00,2026-06-18 05:55:00,360,648,0.01,26.421016109114166,0.9614247458772402,3.2158053085620204,0.07607471729167396,0.2985355940392616,-0.0653078242550571,0.01632322862400866,-0.42165657458155587,,,,,,,,,,
7,humidity,2026-06-17 06:00:00,2026-06-18 05:55:00,360,648,0.01,2.8944339013986777,0.9329198490668691,2.632431103477262,0.6475315979635092,0.03460999903386561,0.6332570180554769,-0.012953664047888643,0.6025913187956548,,,,,,,,,,
8,temperature,2026-06-17 11:00:00,2026-06-18 10:55:00,420,708,0.01,-2.7475885578708366,0.962642197722268,3.2491400070551903,0.07970648022663285,0.9953239683201324,0.08388886368480654,0.017428997985362436,-0.7268948250296546,,,,,,,,,,
8,humidity,2026-06-17 11:00:00,2026-06-18 10:55:00,420,708,0.01,23.42489452564961,0.9335525350311082,2.642585603902837,0.7165401682445945,-0.5111739079134583,0.5465049536273378,-0.01225617132824157,0.7074926627862812,,,,,,,,,,
9,temperature,2026-06-17 16:00:00,2026-06-18 15:55:00,480,768,0.01,-44.32407013480588,0.9624445080283995,3.2436567854219427,0.07329220637587802,1.96860975395693,0.2991517393483656,0.013856121134338746,-0.34042800449731164,,,,,,,,,,
9,humidity,2026-06-17 16:00:00,2026-06-18 15:55:00,480,768,0.01,151.00453799961988,0.9206240578880767,2.4508564376078636,0.7344363726955438,-3.6467487611665734,-0.08322367231016944,-0.002522621612260437,0.09857172426174098,,,,,,,,,,
10,temperature,2026-06-17 21:00:00,2026-06-18 20:55:00,540,828,0.01,38.38162110225282,0.9626256268067666,3.2486793181818343,0.08430547449743614,0.08874377147464302,-0.14115952126578324,0.015188360822638688,-0.14671263939613827,,,,,,,,,,
10,humidity,2026-06-17 21:00:00,2026-06-18 20:55:00,540,828,0.01,39.15500317300498,0.8701023597267792,1.9018641017927356,0.7367741533035735,-1.085896262545313,0.510708818028071,-0.0014611409734942053,-0.5110024127128361,,,,,,,,,,
1,co2,2026-06-16 00:00:00,2026-06-16 23:55:00,0,288,0.01,,,,1.8324447668432833,,,0.00026105704475501066,-0.030383860698521534,0.02631553179448237,-0.05939589686771223,365.9910100767663,287.0,-0.09345424610011613,0.026315531794482885,0.0,0.026315531794484228,0.3605518710912153,0.1864726654648784
2,co2,2026-06-16 05:00:00,2026-06-17 04:55:00,60,348,0.01,,,,1.8832571367135231,,,0.00038804110023434133,-0.06756836821569813,0.06845258169296782,-0.044131570665825265,367.01473305584545,288.0,-0.3483055689935431,0.0684525816929671,0.0,0.06845258169296708,0.4269267748193018,0.1772665965657869
3,co2,2026-06-16 10:00:00,2026-06-17 09:55:00,120,408,0.01,,,,1.9918470058462543,,,0.0004948257681043663,-0.05265776320445095,0.08538474011535585,-0.04012935984671499,365.95882569340546,288.0,-0.4655821121996917,0.0853847401153558,0.0,0.0853847401153554,0.4306166507031541,0.15622107684318695
